127.0.0.1, 2018-03-31 15:34:29, GET, /favicon.ico, HTTP/1.1, 500, 0.103620
127.0.0.1, 2018-03-31 15:34:31, GET, /, HTTP/1.1, 200, 0.063262
127.0.0.1, 2018-03-31 15:34:48, GET, /datamark/default/refresh/, HTTP/1.1, 500, 0.044267
127.0.0.1, 2018-03-31 15:34:49, GET, /favicon.ico, HTTP/1.1, 500, 0.066498
127.0.0.1, 2018-03-31 15:34:51, GET, /admin/default/ticket/datamark/127.0.0.1.2018-03-31.15-34-48.b6bcdd76-7e2f-4939-8089-5e4c7c9f6b37, HTTP/1.1, 303, 0.382373
127.0.0.1, 2018-03-31 15:34:52, GET, /admin, HTTP/1.1, 200, 0.127705
127.0.0.1, 2018-03-31 15:34:53, GET, /favicon.ico, HTTP/1.1, 500, 0.067422
127.0.0.1, 2018-03-31 15:34:55, POST, /admin, HTTP/1.1, 303, 0.034309
127.0.0.1, 2018-03-31 15:34:56, GET, /admin/default/ticket/datamark/127.0.0.1.2018-03-31.15-34-48.b6bcdd76-7e2f-4939-8089-5e4c7c9f6b37, HTTP/1.1, 200, 0.134068
127.0.0.1, 2018-03-31 15:34:56, GET, /favicon.ico, HTTP/1.1, 500, 0.073718
127.0.0.1, 2018-03-31 15:36:13, GET, /datamark/default/refresh/, HTTP/1.1, 500, 0.216088
127.0.0.1, 2018-03-31 15:36:14, GET, /favicon.ico, HTTP/1.1, 500, 0.071975
127.0.0.1, 2018-03-31 15:36:18, GET, /admin/default/ticket/datamark/127.0.0.1.2018-03-31.15-36-13.3343bbdf-3060-43fb-9e9c-9df36883544c, HTTP/1.1, 200, 0.102548
127.0.0.1, 2018-03-31 15:36:19, GET, /favicon.ico, HTTP/1.1, 500, 0.060308
127.0.0.1, 2018-03-31 15:38:14, GET, /datamark/default/refresh/, HTTP/1.1, 200, 0.173558
127.0.0.1, 2018-03-31 15:38:24, GET, /, HTTP/1.1, 200, 0.074424
127.0.0.1, 2018-03-31 15:38:29, GET, /admin, HTTP/1.1, 303, 0.008325
127.0.0.1, 2018-03-31 15:38:29, GET, /admin/site, HTTP/1.1, 200, 0.164790
127.0.0.1, 2018-03-31 15:38:31, POST, /admin/check_version, HTTP/1.1, 200, 0.657727
127.0.0.1, 2018-03-31 15:38:32, GET, /favicon.ico, HTTP/1.1, 500, 0.067492
127.0.0.1, 2018-03-31 15:38:35, GET, /admin/design/datamark, HTTP/1.1, 200, 0.417892
127.0.0.1, 2018-03-31 15:38:37, GET, /favicon.ico, HTTP/1.1, 500, 0.075458
127.0.0.1, 2018-03-31 15:38:44, GET, /appadmin, HTTP/1.1, 200, 0.115404
127.0.0.1, 2018-03-31 15:38:45, GET, /appadmin/hooks, HTTP/1.1, 200, 0.231717
127.0.0.1, 2018-03-31 15:38:47, GET, /appadmin/select/db, HTTP/1.1, 200, 0.118528
127.0.0.1, 2018-03-31 15:49:27, GET, /, HTTP/1.1, 200, 0.066325
127.0.0.1, 2018-03-31 15:49:27, GET, /datamark/static/js/calendar.js, HTTP/1.1, 200, 0.001523
127.0.0.1, 2018-03-31 15:49:27, GET, /datamark/static/css/calendar.css, HTTP/1.1, 200, 0.006803
127.0.0.1, 2018-03-31 15:49:27, GET, /datamark/static/js/web2py.js, HTTP/1.1, 200, 0.002974
127.0.0.1, 2018-03-31 15:49:27, GET, /datamark/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001736
127.0.0.1, 2018-03-31 15:49:27, GET, /datamark/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003954
127.0.0.1, 2018-03-31 15:49:27, GET, /datamark/static/js/share.js, HTTP/1.1, 200, 0.011126
127.0.0.1, 2018-03-31 15:49:27, GET, /datamark/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.005002
127.0.0.1, 2018-03-31 15:49:27, GET, /datamark/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.006621
127.0.0.1, 2018-03-31 15:49:27, GET, /datamark/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003407
127.0.0.1, 2018-03-31 15:49:27, GET, /datamark/static/js/jquery.js, HTTP/1.1, 200, 0.003175
127.0.0.1, 2018-03-31 15:49:28, GET, /datamark/static/images/twitter.png, HTTP/1.1, 200, 0.001583
127.0.0.1, 2018-03-31 15:49:28, GET, /datamark/static/images/facebook.png, HTTP/1.1, 200, 0.002548
127.0.0.1, 2018-03-31 15:49:28, GET, /datamark/static/images/gplus-32.png, HTTP/1.1, 200, 0.002634
127.0.0.1, 2018-03-31 15:49:28, GET, /datamark/static/images/favicon.ico, HTTP/1.1, 200, 0.001372
127.0.0.1, 2018-03-31 15:49:43, GET, /datamark/default/refresh, HTTP/1.1, 303, 0.042192
127.0.0.1, 2018-03-31 15:49:43, GET, /user/login, HTTP/1.1, 200, 0.068852
127.0.0.1, 2018-03-31 15:49:48, GET, /, HTTP/1.1, 200, 0.071481
127.0.0.1, 2018-03-31 15:49:50, GET, /admin, HTTP/1.1, 200, 0.042506
127.0.0.1, 2018-03-31 15:49:50, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.001540
127.0.0.1, 2018-03-31 15:49:50, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.001687
127.0.0.1, 2018-03-31 15:49:50, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.001467
127.0.0.1, 2018-03-31 15:49:50, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.023240
127.0.0.1, 2018-03-31 15:49:50, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.012762
127.0.0.1, 2018-03-31 15:49:50, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.004527
127.0.0.1, 2018-03-31 15:49:50, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.001445
127.0.0.1, 2018-03-31 15:49:50, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.005472
127.0.0.1, 2018-03-31 15:49:50, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.005426
127.0.0.1, 2018-03-31 15:49:50, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.010227
127.0.0.1, 2018-03-31 15:49:50, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.014843
127.0.0.1, 2018-03-31 15:49:50, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.024011
127.0.0.1, 2018-03-31 15:49:50, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.002187
127.0.0.1, 2018-03-31 15:49:51, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.001958
127.0.0.1, 2018-03-31 15:49:51, GET, /favicon.ico, HTTP/1.1, 500, 0.065179
127.0.0.1, 2018-03-31 15:49:53, POST, /admin, HTTP/1.1, 303, 0.029338
127.0.0.1, 2018-03-31 15:49:53, GET, /admin/site, HTTP/1.1, 200, 0.071529
127.0.0.1, 2018-03-31 15:49:54, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.001693
